"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0090312,3.2785,-7.0647e-20,0.81269,1,11.374,23.148,-25.684,0
0.010436,3.2808,-6.2484e-20,0.80392,1,11.443,23.155,-25.615,0
0.011836,3.2832,-5.4566e-20,0.79509,1,11.513,23.162,-25.546,0
0.01323,3.2856,-4.6893e-20,0.78621,1,11.582,23.169,-25.477,0
0.014619,3.2879,-3.9465e-20,0.77727,1,11.651,23.176,-25.408,0
0.016003,3.2903,-3.2282e-20,0.76827,1,11.721,23.183,-25.339,0
0.017381,3.2928,-2.5342e-20,0.75921,1,11.79,23.19,-25.27,0
0.018755,3.2952,-1.8646e-20,0.7501,1,11.86,23.197,-25.201,0
0.020123,3.2976,-1.2193e-20,0.74093,1,11.929,23.204,-25.132,0
0.021486,3.3,-5.984e-21,0.7317,1,11.998,23.211,-25.063,0
0.022843,3.3025,-1.7946e-23,0.72241,1,12.068,23.218,-24.994,0
0.024195,3.305,5.7054e-21,0.71307,1,12.137,23.225,-24.925,0
0.025542,3.3074,1.1186e-20,0.70368,1,12.206,23.232,-24.856,0
0.026884,3.3099,1.6424e-20,0.69422,1,12.276,23.239,-24.787,0
0.028221,3.3124,2.1421e-20,0.68471,1,12.345,23.246,-24.718,0
0.029812,3.3157,2.5422e-20,0.67373,1,12.414,23.253,-24.649,0
0.031454,3.3191,2.9296e-20,0.66231,1,12.484,23.26,-24.58,0
0.033075,3.3226,3.3276e-20,0.6508,1,12.553,23.267,-24.511,0
0.034676,3.3261,3.7362e-20,0.63922,1,12.622,23.274,-24.442,0
0.036257,3.3297,4.1554e-20,0.62756,1,12.692,23.281,-24.373,0
0.037818,3.3333,4.5852e-20,0.61581,1,12.761,23.288,-24.304,0
0.039359,3.3369,5.0256e-20,0.60399,1,12.831,23.295,-24.235,0
0.04088,3.3406,5.4765e-20,0.59209,1,12.9,23.302,-24.166,0
0.042382,3.3443,5.938e-20,0.58011,1,12.969,23.309,-24.097,0
0.043863,3.348,6.41e-20,0.56805,1,13.039,23.316,-24.028,0
0.045325,3.3518,6.8925e-20,0.55591,1,13.108,23.323,-23.959,0
0.046766,3.3556,7.3856e-20,0.54369,1,13.177,23.33,-23.89,0
0.048188,3.3595,7.8891e-20,0.53139,1,13.247,23.337,-23.821,0
0.04959,3.3634,8.4032e-20,0.51901,1,13.316,23.344,-23.752,0
0.051494,3.3674,8.6041e-20,0.50549,1,13.385,23.351,-23.683,0
0.054518,3.3717,8.1015e-20,0.48952,1,13.455,23.358,-23.614,0
0.057518,3.376,7.6031e-20,0.47343,1,13.524,23.365,-23.545,0
0.060496,3.3803,7.109e-20,0.45721,1,13.593,23.372,-23.476,0
0.063449,3.3846,6.6191e-20,0.44088,1,13.663,23.379,-23.407,0
0.06638,3.389,6.1334e-20,0.42441,1,13.732,23.386,-23.338,0
