"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,15.941,56.575,10.363,0
nan,nan,nan,nan,0,16.011,56.582,10.433,0
nan,nan,nan,nan,0,16.082,56.589,10.503,0
nan,nan,nan,nan,0,16.153,56.596,10.574,0
nan,nan,nan,nan,0,16.224,56.603,10.644,0
nan,nan,nan,nan,0,16.295,56.61,10.715,0
nan,nan,nan,nan,0,16.366,56.617,10.785,0
nan,nan,nan,nan,0,16.436,56.624,10.856,0
nan,nan,nan,nan,0,16.507,56.631,10.927,0
nan,nan,nan,nan,0,16.578,56.638,10.997,0
nan,nan,nan,nan,0,16.649,56.645,11.068,0
nan,nan,nan,nan,0,16.72,56.652,11.138,0
nan,nan,nan,nan,0,16.791,56.659,11.208,0
nan,nan,nan,nan,0,16.862,56.666,11.279,0
nan,nan,nan,nan,0,16.932,56.673,11.349,0
nan,nan,nan,nan,0,17.003,56.68,11.42,0
nan,nan,nan,nan,0,17.074,56.687,11.491,0
nan,nan,nan,nan,0,17.145,56.694,11.561,0
nan,nan,nan,nan,0,17.216,56.701,11.632,0
0.034594,0.094705,-4.287e-21,-4.0684,1,17.287,56.708,11.702,0
0.09877,0.27039,-1.224e-20,-3.9299,1,17.357,56.715,11.773,0
0.16295,0.44608,-2.0193e-20,-3.7914,1,17.428,56.722,11.843,0
0.22712,0.62177,-2.8145e-20,-3.6529,1,17.499,56.729,11.913,0
0.2913,0.79746,-3.6098e-20,-3.5144,1,17.57,56.736,11.984,0
0.35547,0.97314,-4.4051e-20,-3.3759,1,17.641,56.743,12.054,0
0.41965,1.1488,-5.2004e-20,-3.2375,1,17.712,56.75,12.125,0
0.47531,1.2653,-5.846e-20,-3.0532,1,17.783,56.757,12.196,0
0.52559,1.3442,-6.3969e-20,-2.84,1,17.853,56.764,12.266,0
0.57587,1.4232,-6.9478e-20,-2.6267,1,17.924,56.771,12.337,0
0.62615,1.5021,-7.4987e-20,-2.4135,1,17.995,56.778,12.407,0
0.67643,1.5811,-8.0496e-20,-2.2003,1,18.066,56.785,12.477,0
0.72671,1.66,-8.6006e-20,-1.9871,1,18.137,56.792,12.548,0
0.77698,1.739,-9.1515e-20,-1.7739,1,18.208,56.799,12.618,0
0.82726,1.8179,-9.7024e-20,-1.5606,1,18.278,56.806,12.689,0
